"DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","ON STREET NAME","CROSS STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2"
"08/24/2015","18:14","MANHATTAN",10001,40.7490226,-73.9880394,"WEST 33 STREET","BROADWAY",0,0,0,0,0,0,0,0,"Other Vehicular",,3283758,"LARGE COM VEH(6 OR MORE TIRES)","OTHER"
"08/24/2015","18:30","MANHATTAN",10027,40.8100655,-73.9549676,"MORNINGSIDE AVENUE","WEST 123 STREET",0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",3283272,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE"
"08/24/2015","18:34","MANHATTAN",10036,40.7585332,-73.9888427,"WEST 44 STREET","8 AVENUE",1,0,0,0,0,0,1,0,"Unspecified",,3283223,"TAXI",
"08/24/2015","18:40","MANHATTAN",10010,40.738219,-73.9856742,"LEXINGTON AVENUE","GRAMERCY PARK NORTH",0,0,0,0,0,0,0,0,"Prescription Medication","Unspecified",3283217,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE"
"08/24/2015","18:40","MANHATTAN",10018,40.7589235,-73.9996896,"11 AVENUE","WEST 39 STREET",0,0,0,0,0,0,0,0,"Unspecified",,3283739,"PASSENGER VEHICLE","SMALL COM VEH(4 TIRES)"
"08/24/2015","18:45","MANHATTAN",10029,40.7937683,-73.9341076,"EAST 114 STREET","PLEASANT AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3284484,"PASSENGER VEHICLE","TAXI"
"08/24/2015","18:45","MANHATTAN",10033,40.8474134,-73.9333063,"AUDUBON AVENUE","WEST 179 STREET",2,0,0,0,0,0,2,0,"Physical Disability","Physical Disability",3283859,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE"
"08/24/2015","18:58","MANHATTAN",10033,40.8489388,-73.9370711,"WEST 179 STREET","BROADWAY",0,0,0,0,0,0,0,0,"Physical Disability","Physical Disability",3283860,"SMALL COM VEH(4 TIRES)","PASSENGER VEHICLE"
"08/24/2015","19:00","MANHATTAN",10065,40.763547,-73.9693376,"EAST 60 STREET","PARK AVENUE",0,0,0,0,0,0,0,0,"Other Vehicular","Other Vehicular",3285141,"TAXI","VAN"
"08/24/2015","19:30","MANHATTAN",10025,40.7942368,-73.9628046,"WEST 100 STREET","CENTRAL PARK WEST",1,0,1,0,0,0,0,0,"Unspecified",,3283262,"UNKNOWN",
